question_id,source_file,question,reference_answer,generated_answer,rouge_l,semantic_similarity,grounding_score,latency_seconds,cache_hit,out_of_domain,model,memory_strategy,evaluated_model
32,samurai_test_set.json,ما المكانة الرمزية للسيف في ثقافة الساموراي؟,كانوا بيعتبروه روح الساموراي,"السيف كان له مكانة مقدسة في ثقافة الساموراي، ويعتبر روح الساموراي. كان السيف حق الساموراي الوحيد في اليابان الذي كان مسموح له أن يشيل سيفين في وسطه ويمشي بهما في الشارع.

المصدر: الساموراي الدحيح | رتبة: 5",0.09999999999999999,0.5063039660453796,0.6296296296296297,53.968218088150024,False,False,llama-3.1-8b-instant,sliding,Groq
33,samurai_test_set.json,ما الهدف من تصميم دروع الساموراي؟,عشان المحارب يبقى بيتحرك براحته,"الهدف من تصميم دروع الساموراي كان ليها دور في حماية الساموراي من الضرايب، ولكن مع مرور الزمن، بدأت دروع الساموراي بتتحول ليكونوا حماية للسادة الاقطاعيين، وحفظ النظام وفرض هيبة الدولة.

(الساموراي  الدحيح | Rank: 1)",0.0,0.29074814915657043,0.5357142857142857,22.820390224456787,False,False,llama-3.1-8b-instant,sliding,Groq
34,samurai_test_set.json,ما التغير الذي طرأ على الساموراي في فترة إيدو؟,تحول الساموراي من محاربين إلى موظفين بيروقراطيين,"في فترة إيدو، تغير الساموراي من محاربين الي موظفين بيروقراطيين ومدرسين واداريين.

[Source: الساموراي  الدحيح | Rank: 1]",0.4166666666666667,0.7915579080581665,0.625,40.733105421066284,False,False,llama-3.1-8b-instant,sliding,Groq
35,taj_mahal_test_set.json,من هو الحاكم المرتبط ببناء هذا الصرح التاريخي؟,شاه جهان,"الحاكم المرتبط ببناء ""تاج محل"" هو السلطان ""بهادر شاه"".

(تاج محل  الدحيح | Rank: 3)",0.125,0.6300938725471497,0.5,40.717450857162476,False,False,llama-3.1-8b-instant,sliding,Groq
36,taj_mahal_test_set.json,ما اسم الشخصية التي خُلّد اسمها في هذا البناء؟,ممتاز محل,"اسم الشخصية التي خُلّد اسمها في هذا البناء هو ""ممتاز محل""، وهي زوجة السلطان ""شاه جهان"".

تاج محل",0.1904761904761905,0.3863636255264282,0.6111111111111112,39.87652325630188,False,False,llama-3.1-8b-instant,sliding,Groq
37,taj_mahal_test_set.json,في أي عام حدثت وفاة الشخصية التي بُني الضريح تكريمًا لها؟,1631,السؤال خارج نطاق المحتوى المتاح.,0.0,0.17290908098220825,0.0,0.03989887237548828,False,True,,sliding,Groq
38,taj_mahal_test_set.json,ما الدافع وراء إنشاء هذا المعلم وفق الرواية المذكورة؟,تخليد ذكرى حب شاه جهان لزوجته,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

( Source: تاج محل  الدحيح | Rank: 1 )",0.0,0.27081790566444397,0.375,33.67980766296387,False,False,llama-3.1-8b-instant,sliding,Groq
39,taj_mahal_test_set.json,في أي مدينة هندية يوجد هذا المعلم؟,في أجرا في الهند,السؤال خارج نطاق المحتوى المتاح.,0.0,0.0563812330365181,0.0,0.03006267547607422,False,True,,sliding,Groq
40,taj_mahal_test_set.json,ما المدة الزمنية التي استغرقها تشييد هذا البناء؟,22 سنة,السؤال خارج نطاق المحتوى المتاح.,0.0,0.22887888550758362,0.0,0.030314207077026367,False,True,,sliding,Groq
41,taj_mahal_test_set.json,من هو المهندس المسؤول عن تصميم هذا المشروع؟,أحمد اللاهوري,السؤال خارج نطاق المحتوى المتاح.,0.0,0.20795130729675293,0.0,0.030015945434570312,False,True,,sliding,Groq
42,taj_mahal_test_set.json,ما المبدأ الهندسي الذي يظهر بوضوح في تصميم المبنى؟,التماثل,"النظام الهندسي الذي يظهر بوضوح في تصميم المبنى هو نظام الهندسة البصرية، حيث أن المبنى مصمم ليتغير لونه حسب الزاوية الشمسية، مما يعكس تأثيرات الضوء بشكل غريب.

(تاج محل  الدحيح | Rank: 1)",0.0,0.06425759196281433,0.2903225806451613,39.020079612731934,False,False,llama-3.1-8b-instant,sliding,Groq
43,taj_mahal_test_set.json,كيف يرتبط اختيار موقع البناء بفكرة التصميم العامة؟,لأن التصميم مستوحى من وصف الجنة ويتضمن الماء كعنصر أساسي,"في الحلقة ""تاج محل  الدحيح""، يقال إن اختيار موقع البناء له دلالة قوية على التصميم العام. يُذكر أن البناء يُقام على منصة رخامية أعلى من اللي حواليه، مما يخلي الناظر يشعر بأن البناء عايم فوق الارض. هذا التصميم يُعتبر جزءًا من التصميم العام للبناء، والذي يهدف إلى خلق احساس باللانهائية والجمال.

 Source: تاج محل  الدحيح | Rank: 1",0.0588235294117647,0.37585902214050293,0.3958333333333333,39.970643281936646,False,False,llama-3.1-8b-instant,sliding,Groq
44,taj_mahal_test_set.json,ما الغرض من إمالة المآذن في تصميم البناء؟,لتسقط بعيدًا عن الضريح في حال الزلازل,"الغرض من إمالة المآذن في تصميم البناء هو حماية الضريح من الضرر في حالة حدوث زلزال، بحيث لا تقع المئذنة علي الضريح.

(تاج محل  الدحيح | Rank: 3)",0.11764705882352941,0.6044462323188782,0.5416666666666666,40.85830473899841,False,False,llama-3.1-8b-instant,sliding,Groq
1,octopus_test_set.json,ما الظاهرة التي يحاول البحث تفسيرها في بداية الحلقة؟,الانفجار الكامبري,الظاهرة التي يحاول البحث تفسيرها في بداية الحلقة هي ظاهرة القططة الميتة والعايشة في نفس الوقت، والتي تتعلق بفكرة أن الكائن قد يكون موجوداً في عدة حالات في نفس الوقت حتى يتم التحقق من هذه الحالات بنفسك. هذه الظاهرة تتعلق بفزياء الكم وتعتبر من الظواهر الخيالية العلمية.,0.0,0.24731610715389252,0.2564102564102564,1.5139315128326416,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
2,octopus_test_set.json,منذ متى حدث الانفجار الكامبري تقريبًا؟,منذ حوالي 541 مليون سنة,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

النص提供的信息与寒武纪大爆发的时间无关，因此无法根据给定的内容回答这个问题。",0.0,0.23372101783752441,0.4,0.8441877365112305,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
3,octopus_test_set.json,ما الفرضية التي تقترح أن سبب الانفجار الكامبري ليس أرضيًا؟,أن السبب قد يكون كونيًا مثل فيروسات أو مواد جاءت من الفضاء,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.20609723031520844,0.4,0.7899196147918701,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
4,octopus_test_set.json,لماذا لم يقبل العلماء فرضية الأصل الفضائي للأخطبوط؟,لعدم وجود دليل مباشر,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.4941871762275696,0.4,0.840203046798706,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
5,octopus_test_set.json,إلى أي شعبة ينتمي الأخطبوط؟,الرخويات,الأخطبوط ينتمي إلى شعبة الرخويات.,0.33333333333333337,0.22526627779006958,0.0,0.654139518737793,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
6,octopus_test_set.json,ما اسم الكيس الذي يحتوي على أعضاء الأخطبوط الداخلية؟,Mantle,الكيس الذي يحتوي على أعضاء الأخطبوط الداخلية يسمى Mantle.,0.19999999999999998,0.6668221950531006,0.0,1.2150671482086182,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
7,octopus_test_set.json,ما سبب اللون الأزرق لدم الأخطبوط؟,لاحتوائه على بروتين الهيموسيانين,دم الأخطبوط لونه أزرق بسبب وجود بروتين يسمى هيموسيانين، وهو مبني على النحاس ويباقي قادر على مسك الأكسجين بشكل أفضل من الهيموجلوبين الذي يمنح الدم اللون الأحمر في أغلب الكائنات الحية الأخرى.,0.05555555555555555,0.48595312237739563,0.45161290322580644,1.0561730861663818,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
8,octopus_test_set.json,كيف يتمكن الأخطبوط من تغيير شكله ولونه للتمويه؟,باستخدام خلايا جلدية تغير اللون والملمس,الأخطبوط يمكنه تغيير شكله ولونه للتمويه عن طريق استخدام خلايا صغيرة في الجلد تقوم بتنشيط خلايا الألوان عند ضوء معين، مما يجعله يستهلك المزيد من الأكسجين. هذا التنشيط يساعد في تغيير لون الجلد وشكله، مما يجعله يتوافق مع البيئة المحيطة به. بالإضافة إلى ذلك، يمكن للأخطبوط إخراج حبر من كيس الحبر الخاص به يشكل سحابة سوداء كثيفة أو فقاقيع، مما يجعله يختفي من الأنظار. هذا الحبر يخلط حواس المفترس، خاصة القروش.,0.025974025974025976,0.7465609312057495,0.3103448275862069,1.8261773586273193,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
9,octopus_test_set.json,أين توجد معظم الخلايا العصبية في جسم الأخطبوط؟,في أذرعه,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

النص يتحدث عن العديد من جوانب الأخطبوط مثل طريقة التزاوج والتصرفات الاجتماعية والقدرة على التعلم، لكنه لا يذكر معلومات حول موقع معظم الخلايا العصبية في جسم الأخطبوط.",0.05128205128205129,0.1398318111896515,0.25806451612903225,1.2140326499938965,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
10,octopus_test_set.json,لماذا يمكن اعتبار أذرع الأخطبوط شبه مستقلة عن الدماغ؟,لأن لكل ذراع نظامًا عصبيًا خاصًا به,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

النص يتحدث عن قدرات الأخطبوط في التعلم和社会关系对于个人发展的重要性体现在多个方面。首先，社会关系可以提供情感支持，帮助个体应对生活中的压力和挑战。其次，通过与他人的互动，个体可以学习新技能和知识，促进个人成长和发展。此外，良好的社会关系还能增强个体的社交能力和沟通技巧，这对于职业发展和个人生活都非常重要。最后，社会关系还能为个体提供资源和支持网络，帮助他们在面对困难时获得帮助。因此，建立和维护良好的社会关系对于个人的整体发展和幸福感至关重要。",0.0,0.2833486795425415,0.42857142857142855,1.6320595741271973,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
11,physics_movement_test_set.json,ماذا تعكس فكرة التغير المستمر عند الفلاسفة حول طبيعة المادة؟,كل مادة من دول بتتحرك وبتتحول طول الوقت,"الفكرة حول التغير المستمر عند الفلاسفة تعكس أن المادة لا تبقى ثابتة بل تتغير باستمرار. هذا يظهر في الفلسفة القديمة حيث يؤكد هرقلطيس على أن ""الحركة هي الحياة""، بينما يضيف أرسطو مفهوم التحول المستمر للمادة من حالة إلى أخرى. هذا المفهوم استمر في التطور عبر العصور، حيث يعكس الفيزيائيون الحديثون مثل نيوتن وإينشتاين أفكاراً حول حركة الجسيمات وطبيعتها المتغيرة. في النهاية، يشير هذا إلى أن المادة ليست ثابتة بل في حالة تغير مستمر، وهو ما يتوافق مع مبدأ عدم اليقين في الفيزياء الكمية.",0.021739130434782605,0.4363744556903839,0.3088235294117647,1.8873372077941895,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
12,physics_movement_test_set.json,ما الخاصية التي جعلت النار نموذجًا مناسبًا عند هيرقليطس؟,بسبب حركتها المجنونة والمستمرة,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

النص提供的信息主要讨论了关于以太、伽利略的实验以及量子物理的一些概念，并没有提到赫拉克利特及其关于火作为模型的观点。",0.0,0.049772296100854874,0.5,1.5227487087249756,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
13,physics_movement_test_set.json,كيف يمكن تفسير أهمية الحركة في رؤية الفلاسفة الأوائل للكون؟,الحركة هي عصب الوجود بالكامل,"في رؤية الفلاسفة الأوائل للكون، مثل زينون، الحركة كانت تحمل معنىً فلسفياً عميقاً. زينون، على سبيل المثال، كان يرى أن الحركة مستحيلة، حيث حاول إثبات ذلك من خلال حجج مثل حجة الملعب وحجة السلحفاة، والتي تهدف إلى إظهار أن الحركة تتضمن تجزئة لا نهاية لها للمسافات، مما يجعلها غير ممكنة. هذا التفكير كان ينطلق من فكرة أن الحركة تعني تغييراً من الوجود إلى عدم، أو العكس، وهو ما يتعارض مع فكرة الثبات التي كان يؤمن بها زينون. من خلال هذا التفكير، كان الفلاسفة الأوائل يحاولون فهم طبيعة الكون وطبيعة وجودنا فيه، مما يجعل الحركة جزءاً أساسياً في فهمهم للكون.

من ناحية أخرى، كان الفلاسفة الآخرون مثل هيرقلطيس وارسطو يرون الحركة كجزء من الحياة والتطور، حيث أن الحركة كانت تمثل البركة والحياة. هذا الفهم للحركة كان يندرج في إطار فلسفة أكثر تطوراً تقبل الحركة كجزء من الطبيعة والحياة.

في النهاية، الح",0.027586206896551724,0.42565852403640747,0.21,2.7841734886169434,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
14,physics_movement_test_set.json,ما الوظيفة الأساسية للدماغ وفق تفسير دانيال وولبرت؟,وهي إنتاج سلسلة من الحركات المعقدة,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

النص المقدم يتحدث عن العديد من المواضيع المتعلقة بالذكاء والسلوك الأخطبوط، لكنه لا يتناول تفسير دانيال وولبرت للوظيفة الأساسية للدماغ.",0.05555555555555555,0.2980922758579254,0.2222222222222222,1.0592947006225586,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
15,physics_movement_test_set.json,ما نوع الاستجابة التي اعتمد عليها الإنسان في البيئات الخطرة قديمًا؟,كان بيتحرك وبيهرب، بيجري,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.12873105704784393,0.5,0.8162860870361328,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
16,physics_movement_test_set.json,كيف وصف زينون حقيقة الحركة؟,لا توجد حركة أصلًا,زينون وصف حقيقة الحركة بأنها تهيؤات وحجج عقلية لابطال الحركة. على سبيل المثال، في حجة الملعب، قال إن لكي تتحرك من نقطة لأخرى، يجب أن تمر بنقطة وسط بينهما، ومن ثم يجب أن تمر بنقطة وسط بين النقطة الأولى والنقطة الوسطى، وهكذا إلى الأبد، مما يعني أن الحركة مستحيلة.,0.0,0.39571067690849304,0.3902439024390244,1.349275827407837,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
17,physics_movement_test_set.json,ماذا يحدث عند الاستمرار في تقسيم المسافة إلى أجزاء أصغر؟,هنفضل ننصص إلى ما لانهاية,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.1551051288843155,0.3,0.8904263973236084,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
18,physics_movement_test_set.json,ما النتيجة التي توصل إليها زينون بخصوص تغير العالم؟,العالم حولنا ثابت، لا يتغير,"لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.

النص المقدم يتحدث عن الساموراي والمغول والفيزياء القديمة، لكنه لا يذكر أي معلومات حول زينون ونتائج تفكيره حول تغير العالم.",0.05714285714285715,0.2377578318119049,0.28,1.530212640762329,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
19,physics_movement_test_set.json,كيف فسر زينون الإحساس بالحركة؟,هو مجرد وهم جاي من حواس بتخدعنا,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.06995663791894913,0.5,0.9155807495117188,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
20,physics_movement_test_set.json,ما التطور الرياضي الذي ساعد في حل مفارقات الحركة؟,حطوا أسس التفاضل والتكامل,التقديم الرياضي للحركة تطور بشكل كبير مع عمل غاليليو ونيوتن. غاليليو، من خلال ملاحظاته على حركة الأجسام على سطح ملمس، أثبت أن الأجسام تستمر في الحركة بسرعة ثابتة في غياب مقاومة الهواء، وهذا مخالف للرأي الأرسطي الذي يرى أن الأجسام تقف عند لمسها. ثم أعاد نيوتن هذه الأفكار إلى صيغ رياضية في قوانين الحركة الأولى، مما جعلها قابلة للتطبيق والقياس بدقة أكبر. هذا التطور الرياضي ساعد في حل العديد من مفارقات الحركة التي كانت تحير الفلاسفة والعلماء سابقًا.,0.0,0.21501001715660095,0.26865671641791045,1.8530194759368896,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
21,physics_movement_test_set.json,كيف تفسر الرياضيات إمكانية جمع عدد لا نهائي من الأجزاء؟,مجموع هذه الأجزاء بيساوي قيمة معيّنة,لا توجد معلومات كافية في النص للإجابة عن هذا السؤال.,0.0,0.12226023524999619,0.5,0.8801307678222656,False,False,hf:Qwen/Qwen2.5-7B-Instruct,sliding,HuggingFace_Qwen
